stock_level_id,asset_number,serial_number,product,company,notes
18782,6966,,SmallHD 703 UltraBright,TOGO,
18781,6967,,SmallHD 703 UltraBright,TOGO,
18844,6998,,SmallHD 503 UltraBright,TOGO,
18843,6999,,SmallHD 503 UltraBright,TOGO,
18798,6980,,SmallHD 703 Bolt,TOGO,
18797,6986,,SmallHD 703 Bolt,TOGO,
7449,Bulk Stock,,Teradek Bolt 500 XT 1:2 Kit,TOGO,
6250,Bulk Stock,,Teradek Bolt 1000 XT 1:2 kit,TOGO,
2297,Bulk Stock,,Teradek Bolt 3000 XT 1:2 Kit,TOGO,
18970,Bulk Stock,,DJI Transmission 1:1 Kit,TOGO,
18973,12465,,DJI Transmission Remote Monitor 7",TOGO,
11739,Bulk Stock,,Hollyland Solidcom C1 C1-4S,TOGO,
